customer_id,name,region
1,Customer_1,East
2,Customer_2,West
3,Customer_3,North
4,Customer_4,East
5,Customer_5,East
6,Customer_6,West
7,Customer_7,North
8,Customer_8,North
9,Customer_9,East
10,Customer_10,South
11,Customer_11,East
12,Customer_12,East
13,Customer_13,East
14,Customer_14,East
15,Customer_15,West
16,Customer_16,North
17,Customer_17,West
18,Customer_18,West
19,Customer_19,West
20,Customer_20,East
21,Customer_21,South
22,Customer_22,North
23,Customer_23,South
24,Customer_24,West
25,Customer_25,West
26,Customer_26,South
27,Customer_27,South
28,Customer_28,South
29,Customer_29,West
30,Customer_30,West
31,Customer_31,North
32,Customer_32,North
33,Customer_33,West
34,Customer_34,South
35,Customer_35,South
36,Customer_36,North
37,Customer_37,West
38,Customer_38,North
39,Customer_39,North
40,Customer_40,East
41,Customer_41,East
42,Customer_42,East
43,Customer_43,South
44,Customer_44,West
45,Customer_45,West
46,Customer_46,West
47,Customer_47,West
48,Customer_48,East
49,Customer_49,South
50,Customer_50,South
51,Customer_51,East
52,Customer_52,South
53,Customer_53,East
54,Customer_54,West
55,Customer_55,East
56,Customer_56,West
57,Customer_57,West
58,Customer_58,North
59,Customer_59,East
60,Customer_60,North
61,Customer_61,East
62,Customer_62,East
63,Customer_63,North
64,Customer_64,North
65,Customer_65,East
66,Customer_66,South
67,Customer_67,West
68,Customer_68,North
69,Customer_69,West
70,Customer_70,South
71,Customer_71,South
72,Customer_72,South
73,Customer_73,North
74,Customer_74,South
75,Customer_75,North
76,Customer_76,South
77,Customer_77,West
78,Customer_78,West
79,Customer_79,East
80,Customer_80,West
81,Customer_81,East
82,Customer_82,West
83,Customer_83,North
84,Customer_84,West
85,Customer_85,East
86,Customer_86,East
87,Customer_87,South
88,Customer_88,North
89,Customer_89,West
90,Customer_90,South
91,Customer_91,West
92,Customer_92,West
93,Customer_93,South
94,Customer_94,South
95,Customer_95,South
96,Customer_96,South
97,Customer_97,South
98,Customer_98,West
99,Customer_99,South
100,Customer_100,North
